//hightemp lowtemp snowdepth
23.0	10.0    9.02
24.1	-7.1    9.02
30.0	10.9    9.02
37.9	28.9    7.99
41.0	30.9    5.98
43.0	34.0    5.00
37.0	28.0    5.00
35.1	28.9    4.02
39.0	28.0    4.02
30.9	23.0    4.02
30.9	18.0    4.02
36.0	28.9    4.02
37.9	32.0    2.99
39.0	25.0    2.99
34.0	19.9    2.01
34.0	26.1    2.99
37.9	28.9    2.99
39.9	32.0    2.01
39.9	30.0    2.01
41.0	32.0    0.98
39.0	30.9    0.00
45.0	35.1    0.00
44.1	32.0    0.00
44.1	34.0    0.00
39.9	28.0    0.00
39.0	30.0    0.00
44.1	36.0    0.00
39.9	36.0    0.00
39.9	32.0    0.00
39.0	30.9    0.00
37.9	28.9    0.00
